panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
primary_cfg3,3.0,P3S_B001,0.5,0.055771503830328584,0.021284252405166626,1.125,0.02606679618160241,7.71762622892741,1.125,3.375,0.11546610169491525,13.625,25.0,13.875,10.75,0.46679197994987465,0.13443926342509804,0.14288159902512076,0.1262833648092189,0.008155898615879169,0.007497879895059409,0.0028614392159044726
primary_cfg3,3.0,P3S_B002,0.3,0.010745258219685638,0.004752151668071747,1.25,0.028426146536855722,6.264459546297246,1.25,4.375,0.03663793103448276,2.125,30.5,4.125,2.75,0.6160714285714286,0.22420705944371866,0.251049515803928,0.19917786908312296,0.02502919036059573,0.0024091627483991645,0.0010654659515289288
primary_cfg3,3.0,P3S_B002,0.5,0.02435536202392541,0.008614756166934967,1.125,0.021034154173622657,6.305527310848613,1.125,7.125,0.07733050847457627,9.125,26.0,13.875,7.5,0.599905303030303,0.12976630901771502,0.13759014790543075,0.12219761538140712,0.007568693636307807,0.0031605054346350255,0.0011179051108707492
primary_cfg3,3.0,P3S_B003,0.3,0.008570482903451193,0.0043399035930633545,1.0,0.015116486540930528,5.874938955384242,1.0,1.0,0.032327586206896554,1.875,30.333333333333332,5.875,2.75,0.2875,0.1525130881982203,0.16434829527059516,0.14121047303417059,0.011302615164049908,0.001307110814955391,0.0006618920994606446
primary_cfg3,3.0,P3S_B003,0.5,0.02216180760296993,0.016439512372016907,1.0,0.017718771450494566,7.030652971155847,1.0,1.0,0.08686440677966102,10.25,26.375,13.125,7.125,0.5073091736694678,0.10492802152804925,0.10987422730807879,0.10010579767691033,0.004822223851138938,0.0023253946252649142,0.001724965508081622
primary_cfg3,3.0,P3S_B004,0.3,0.009811142008402385,0.0037533938884735107,1.0,0.013554954044992545,5.9625961317463645,1.0,1.0,0.023706896551724137,1.375,30.0,5.125,2.25,0.19999999999999998,0.1562238476913015,0.16872033730720187,0.14430885326565848,0.011914994425643042,0.001532734354798384,0.0005863696351583476
primary_cfg3,3.0,P3S_B004,0.5,0.03423782729078084,0.011594437062740326,1.0,0.021797163935253223,6.2010454939228845,1.0,1.0,0.0614406779661017,7.25,26.0,10.125,6.625,0.6083806818181818,0.09474090251118827,0.09865966695337913,0.09090859992663337,0.003832302584554881,0.003243722657550769,0.0010984674314331894
primary_cfg3,3.0,P3S_B005,0.3,0.008017220592591912,0.0023937299847602844,1.25,0.02138554231915661,5.11416455884783,1.25,13.0,0.04956896551724138,2.875,30.625,7.875,3.5,0.7059523809523809,0.19021239241053334,0.20918922997371453,0.17232336481652824,0.017889027594005055,0.0015249747093999014,0.0004553171071860832
primary_cfg3,3.0,P3S_B005,0.5,0.02243143680971116,0.010572552680969238,1.25,0.018258825889355255,7.017883375045361,1.25,15.875,0.06779661016949153,8.0,26.5,14.625,6.375,0.5451073232323232,0.11615634924918372,0.12246456842021954,0.11003637006241843,0.006119979186765367,0.0026055538082298047,0.0012280691216660566
primary_cfg3,3.0,P3S_B006,0.3,0.003065690463699866,0.004543334245681763,1.125,0.016354106321706564,4.447849712142959,1.125,2.375,0.03232758620689655,1.875,30.5,9.875,2.375,0.3958333333333333,0.1703805629015499,0.18546866293529432,0.15606890765011325,0.014311655251436798,0.0005223340668870967,0.0007740958462291473
