block_id,anchor_target_rho,lpips_alex,prediction_S0,prediction_S1,abs_error_S0,abs_error_S1,propagation_contribution,rank_y,rank_c
P3S_B009,0.3,0.01715593785047531,0.013429331943546056,0.020189652904221537,0.003726605906929255,0.0030337150537462255,0.00676032096067548,249.0,269.0
P3S_B009,0.5,0.040360935032367706,0.025644053038193178,0.03864202547452057,0.014716881994174529,0.0017189095578471342,0.012997972436327394,225.0,247.0
P3S_B009,0.5,0.02313637174665928,0.023578099817629084,0.02467506966130314,0.0004417280709698053,0.0015386979146438627,0.0010969698436740574,138.0,187.0
P3S_B009,0.5,0.0291758943349123,0.034800982382924193,0.028809204971252528,0.005625088048011893,0.00036668936365977234,-0.005991777411671666,172.0,146.0
P3S_B009,0.5,0.005299507174640894,0.029260645335810652,0.005142783368380095,0.023961138161169758,0.00015672380626079868,-0.024117861967430557,50.0,12.0
P3S_B009,0.5,0.017256060615181923,0.022169831818716883,0.00813111024567342,0.0049137712035349605,0.009124950369508503,-0.014038721573043464,120.0,90.0
P3S_B009,0.5,0.013595272786915302,0.020220087527164813,0.016846807809959764,0.006624814740249511,0.003251535023044462,-0.0033732797172050487,95.0,164.0
P3S_B009,0.5,0.004500734154134989,0.029588670039441756,0.008125286572782865,0.025087935885306768,0.0036245524186478764,-0.02146338346665889,45.0,31.0
P3S_B009,0.5,0.03551837056875229,0.0333124261790497,0.0472009422012819,0.002205944389702591,0.011682571632529608,0.013888516022232199,205.0,251.0
P3S_B010,0.3,0.005416190251708031,-0.002095583497995459,0.003424526365025937,0.00751177374970349,0.0019916638866820935,0.005520109863021396,143.0,252.0
P3S_B010,0.3,0.0022256316151469946,0.015041459607659454,0.005427613508837763,0.01281582799251246,0.0032019818936907685,-0.009613846098821691,66.0,21.0
P3S_B010,0.3,0.0015577792655676603,0.003377837908900092,0.001990152896620058,0.0018200586433324319,0.0004323736310523976,-0.0013876850122800342,49.0,152.0
P3S_B010,0.3,0.005009666085243225,0.012770591783375859,0.01750119784087493,0.007760925698132633,0.012491531755631703,0.00473060605749907,130.0,245.0
P3S_B010,0.3,6.813525033066981e-07,-0.002986557400276455,-0.0010760446656403536,0.002987238752779762,0.0010767260181436603,0.0019105127346361016,1.0,207.0
